,date,vix
843,2018-12-19,17
844,2018-12-18,17
845,2018-12-17,17
846,2018-12-14,17
847,2018-12-13,15
848,2018-12-12,17
849,2018-12-11,18
850,2018-12-10,19
851,2018-12-07,18
852,2018-12-06,18
853,2018-12-05,17
854,2018-12-04,16
855,2018-12-03,16
856,2018-11-30,18
857,2018-11-29,17
858,2018-11-28,17
859,2018-11-27,17
860,2018-11-26,17
861,2018-11-23,18
862,2018-11-22,18
863,2018-11-21,18
864,2018-11-20,18
865,2018-11-19,17
866,2018-11-16,18
867,2018-11-15,18
868,2018-11-14,18
869,2018-11-13,18
870,2018-11-12,16
871,2018-11-09,15
872,2018-11-08,16
873,2018-11-07,19
874,2018-11-06,19
875,2018-11-05,19
876,2018-11-02,18
877,2018-11-01,19
878,2018-10-31,20
879,2018-10-30,21
880,2018-10-29,23
881,2018-10-26,22
882,2018-10-25,20
883,2018-10-24,18
884,2018-10-23,19
885,2018-10-22,16
886,2018-10-19,15
887,2018-10-18,16
888,2018-10-17,16
889,2018-10-16,18
890,2018-10-15,18
891,2018-10-12,17
892,2018-10-11,19
893,2018-10-10,14
894,2018-10-08,14
895,2018-10-05,13
896,2018-10-04,12
897,2018-10-02,11
898,2018-10-01,11
899,2018-09-28,11
900,2018-09-27,11
901,2018-09-21,11
902,2018-09-20,10
903,2018-09-19,11
904,2018-09-18,11
905,2018-09-17,11
906,2018-09-14,10
907,2018-09-13,11
908,2018-09-12,12
909,2018-09-11,12
910,2018-09-10,12
911,2018-09-07,12
912,2018-09-06,12
913,2018-09-05,12
914,2018-09-04,11
915,2018-09-03,11
916,2018-08-31,11
917,2018-08-30,11
918,2018-08-29,11
919,2018-08-28,11
920,2018-08-27,11
921,2018-08-24,11
922,2018-08-23,12
923,2018-08-22,12
924,2018-08-21,12
925,2018-08-20,13
926,2018-08-17,13
927,2018-08-16,14
928,2018-08-14,13
929,2018-08-13,14
930,2018-08-10,12
931,2018-08-09,11
932,2018-08-08,12
933,2018-08-07,12
934,2018-08-06,12
935,2018-08-03,12
936,2018-08-02,13
937,2018-08-01,12
938,2018-07-31,13
939,2018-07-30,13
940,2018-07-27,12
941,2018-07-26,13
942,2018-07-25,13
943,2018-07-24,14
944,2018-07-23,14
945,2018-07-20,13
946,2018-07-19,14
947,2018-07-18,14
948,2018-07-17,13
949,2018-07-16,13
950,2018-07-13,13
951,2018-07-12,14
952,2018-07-11,14
953,2018-07-10,13
954,2018-07-09,14
955,2018-07-06,16
956,2018-07-05,17
957,2018-07-04,17
958,2018-07-03,17
959,2018-07-02,18
960,2018-06-29,16
961,2018-06-28,16
962,2018-06-27,16
963,2018-06-26,15
964,2018-06-25,15
965,2018-06-22,15
966,2018-06-21,15
967,2018-06-20,15
968,2018-06-19,16
969,2018-06-18,15
970,2018-06-15,13
971,2018-06-14,13
972,2018-06-12,12
973,2018-06-11,13
974,2018-06-08,12
975,2018-06-07,12
976,2018-06-05,12
977,2018-06-04,12
978,2018-06-01,13
979,2018-05-31,14
980,2018-05-30,15
981,2018-05-29,12
982,2018-05-28,12
983,2018-05-25,12
984,2018-05-24,12
985,2018-05-23,12
986,2018-05-21,12
987,2018-05-18,12
988,2018-05-17,13
989,2018-05-16,12
990,2018-05-15,12
991,2018-05-14,11
992,2018-05-11,11
993,2018-05-10,11
994,2018-05-09,12
995,2018-05-08,13
996,2018-05-04,13
997,2018-05-03,13
998,2018-05-02,13
999,2018-04-30,13
1000,2018-04-27,14
1001,2018-04-26,14
1002,2018-04-25,14
1003,2018-04-24,14
1004,2018-04-23,13
1005,2018-04-20,12
1006,2018-04-19,12
1007,2018-04-18,12
1008,2018-04-17,13
1009,2018-04-16,13
1010,2018-04-13,13
1011,2018-04-12,15
1012,2018-04-11,15
1013,2018-04-10,15
1014,2018-04-09,16
1015,2018-04-06,17
1016,2018-04-05,17
1017,2018-04-04,18
1018,2018-04-03,18
1019,2018-04-02,18
1020,2018-03-30,17
1021,2018-03-29,18
1022,2018-03-28,19
1023,2018-03-27,18
1024,2018-03-26,19
1025,2018-03-23,20
1026,2018-03-22,16
1027,2018-03-21,16
1028,2018-03-20,16
1029,2018-03-19,16
1030,2018-03-16,15
1031,2018-03-15,15
1032,2018-03-14,15
1033,2018-03-13,15
1034,2018-03-12,15
1035,2018-03-09,14
1036,2018-03-08,15
1037,2018-03-07,17
1038,2018-03-06,16
1039,2018-03-05,18
1040,2018-03-02,17
1041,2018-02-28,15
1042,2018-02-27,14
1043,2018-02-26,15
1044,2018-02-23,15
1045,2018-02-22,16
1046,2018-02-21,16
1047,2018-02-20,17
1048,2018-02-19,16
1049,2018-02-14,18
1050,2018-02-13,20
1051,2018-02-12,21
1052,2018-02-09,23
1053,2018-02-08,18
1054,2018-02-07,23
1055,2018-02-06,22
1056,2018-02-05,16
1057,2018-02-02,14
1058,2018-02-01,13
1059,2018-01-31,14
1060,2018-01-30,14
1061,2018-01-29,13
1062,2018-01-26,12
1063,2018-01-25,12
1064,2018-01-24,12
1065,2018-01-23,12
1066,2018-01-22,13
1067,2018-01-19,12
1068,2018-01-18,12
1069,2018-01-17,12
1070,2018-01-16,11
1071,2018-01-15,11
1072,2018-01-12,11
1073,2018-01-11,11
1074,2018-01-10,12
1075,2018-01-09,12
1076,2018-01-08,12
1077,2018-01-05,11
1078,2018-01-04,12
1079,2018-01-03,12
1080,2018-01-02,12
1081,2017-12-28,12
1082,2017-12-27,12
1083,2017-12-26,12
1084,2017-12-22,11
1085,2017-12-21,12
